Type,Location,Latitude,Longitude
Hydrant,Hanover Business Center,37.74391079,-77.47024996
Hydrant,Hanover Business Center,37.74399277,-77.4706695
Hydrant,Patrick Henry Family YMCA (Addition and Renovation),37.74414714,-77.47972628
Hydrant,Route 1 16-inch Waterline 1972,37.74433278,-77.47142405
Hydrant,Ashland Business Park,37.7443658,-77.46643877
Hydrant,Ashland Business Park,37.74439091,-77.4684262
Hydrant,Interflex,37.74463321,-77.4630094
Hydrant,Hanover Business Center,37.74463652,-77.46962828
Hydrant,Business Ln,37.744925,-77.462995
Hydrant,,37.74494115,-77.48240304
Hydrant,Oak Hill Sewer Rehabilitation,37.74494411,-77.50779807
Hydrant,Patrick Henry YMCA Phase 1,37.74497421,-77.47879934
Hydrant,Patrick Henry YMCA Phase 1,37.74514461,-77.47897267
Hydrant,,37.74522563,-77.48148422
Hydrant,Ashland Business Park,37.74546653,-77.46589834
Hydrant,Interflex,37.74551984,-77.4626707
Hydrant,Schooler Center Fast Mart,37.74573395,-77.46986472
Hydrant,Ashland Business Park,37.74610651,-77.47087177
Hydrant,Presidential Business Center,37.74612825,-77.46481261
Hydrant,Sheets Convenience Store - Ashland,37.7462014,-77.47247753
Hydrant,Logan's Run,37.74640353,-77.4832676
Hydrant,Ashland Business Park,37.74652021,-77.46601088
Hydrant,Presidential Business Center,37.74659056,-77.46289103
Hydrant,Presidential Business Center,37.74665011,-77.46355893
Hydrant,Ashcake Road Waterline 1987,37.7467691,-77.48157363
Hydrant,Presidential Business Center,37.74681389,-77.46544739
Hydrant,Ashcake Road Waterline 1987,37.74685769,-77.48479246
Hydrant,Presidential Business Center,37.74690929,-77.4643679
Hydrant,Ashcake Road Waterline 1987,37.74695374,-77.47440328
Hydrant,Route 1 16-inch Waterline 1972,37.74701212,-77.4715006
Hydrant,Presidential Business Center,37.7470307,-77.46406795
Hydrant,Ashcake Road Waterline 1987,37.74708037,-77.47776982
Hydrant,Ashland,37.74730528,-77.47940839
Hydrant,Slash Cottage Section 2,37.74734471,-77.47846722
Hydrant,Slash Cottage Section 2,37.74739045,-77.47574716
Hydrant,Slash Cottage Section 2,37.74739599,-77.47728954
Hydrant,Slash Cottage,37.74768774,-77.48060856
Hydrant,Presidential Business Center,37.74778128,-77.46506481
Hydrant,Slash Cottage Section 2,37.74822468,-77.47838182
Hydrant,Slash Cottage Section 2,37.74855029,-77.47715425
Hydrant,Slash Cottage Section 3,37.74856818,-77.47592606
Hydrant,Ashland Business Park,37.74859145,-77.46455052
Hydrant,Slash Cottage Section 3,37.74860507,-77.47465281
Hydrant,Ashland,37.74910935,-77.48410559
Hydrant,Slash Cottage,37.74911384,-77.47888341
Hydrant,Ashland Simply Storage Waterline,37.7491234,-77.47101566
Hydrant,Ashland Business Park,37.74926695,-77.46339931
Hydrant,Ashland,37.74944935,-77.46292849
Hydrant,Ashland,37.74948381,-77.46103551
Hydrant,Route 1 16-inch Waterline 1972,37.74951347,-77.4716235
Hydrant,South Center St & Early St Waterline,37.74962562,-77.48627797
Hydrant,Slash Cottage Section 4,37.74967694,-77.48060205
Hydrant,Slash Cottage Section 3,37.74985736,-77.47601187
Hydrant,South Center St & Early St Waterline,37.75007614,-77.48421233
Hydrant,Ashland,37.75022758,-77.46197818
Hydrant,Slash Cottage Section 4,37.75023355,-77.47826355
Hydrant,Ashland,37.75029022,-77.47104253
Hydrant,Ashland,37.75031585,-77.46967304
Hydrant,Ashland,37.75042633,-77.48366821
Hydrant,Slash Cottage,37.7504378,-77.47448146
Hydrant,Ashland,37.75050954,-77.46256787
Hydrant,Slash Cottage Section 4,37.75071733,-77.4762623
Hydrant,Maple Street Subdivision,37.75085802,-77.48003093
Hydrant,Ashland,37.75096619,-77.48560621
Hydrant,Ashland,37.75101296,-77.46416596
Hydrant,Jones Water and Sewer Extension,37.7511545,-77.48185236
Hydrant,James Street Area Water 1982,37.75148331,-77.48384968
Hydrant,Sedgefield Phase 2,37.75161135,-77.46632935
Hydrant,Ashland,37.7516349,-77.483284
Hydrant,Pleasant Street Reservoir and Pumping Station,37.75172898,-77.47351572
Hydrant,Sedgefield Phase 2,37.75176223,-77.46806977
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75179246,-77.46097953
Hydrant,James Street Area Water 1982,37.75184763,-77.48559938
Hydrant,Ashland,37.75222718,-77.47577754
Hydrant,Maple Street Subdivision,37.75223584,-77.47847905
Hydrant,Sedgefield Phase 3,37.75224213,-77.46359504
Hydrant,Ashland,37.75230212,-77.47973403
Hydrant,Ashland,37.75233308,-77.4810914
Hydrant,James Street Area Water 1982,37.75234993,-77.48738761
Hydrant,Ashland,37.75244877,-77.47456447
Hydrant,Sedgefield Phase 2,37.75247126,-77.46769056
Hydrant,Sedgefield Phase 2,37.75272573,-77.46565597
Hydrant,Ashland,37.75289058,-77.4828944
Hydrant,James Street Area Water 1982,37.7529921,-77.48587568
Hydrant,Sedgefield Phase 2,37.75309299,-77.46722489
Hydrant,James Street Area Water 1982,37.7531112,-77.48864067
Hydrant,Sedgefield Phase 2,37.75316276,-77.46928561
Hydrant,Howard Street Waterline,37.75318374,-77.4832949
Hydrant,Arlington Street Area Water 1982,37.75321104,-77.47780788
Hydrant,Route 1 - Arbor Oak to Myrtle,37.75325934,-77.47115407
Hydrant,Arlington Street Area Water 1982,37.75331178,-77.47953835
Hydrant,Sedgefield Phase 3,37.75337326,-77.46331969
Hydrant,McMurdo Street Waterline and Sewer Lateral Replacement,37.75337368,-77.48095199
Hydrant,McMurdo Street Waterline and Sewer Lateral Replacement,37.75342715,-77.48267945
Hydrant,Sedgefield Phase 3,37.75352502,-77.46462723
Hydrant,James Street Area Water 1982,37.75366815,-77.48475882
Hydrant,Ashland,37.75366888,-77.47384138
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75372451,-77.46144131
Hydrant,Ashland,37.75384025,-77.47545293
Hydrant,Walmart - Ashland,37.75396032,-77.45936188
Hydrant,James Street Area Water 1982,37.75407277,-77.48685689
Hydrant,Ashland Junction Shopping Center 1990,37.75415915,-77.46906849
Hydrant,Ashland,37.75436424,-77.48235859
Hydrant,"Ashland Waterline Improvements - Snead, Hanover, Beverly 1984",37.75449723,-77.4903979
Hydrant,Ashland,37.75459613,-77.46702526
Hydrant,Route 1 Short St & Arlington St Waterline Improvements,37.75478105,-77.4716699
Hydrant,Ashland,37.75481664,-77.47745616
Hydrant,Ashland Junction Shopping Center 1990,37.75489606,-77.47067864
Hydrant,Ashland,37.75489665,-77.47397431
Hydrant,Ashland,37.75492347,-77.47566244
Hydrant,Arlington Street Area Water 1982,37.75493783,-77.47948151
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75497645,-77.46307297
Hydrant,Walmart - Ashland,37.75499063,-77.46063126
Hydrant,Ashland Junction Shopping Center 1990,37.75500664,-77.46880044
Hydrant,Arlington Street Area Water 1982,37.75501843,-77.48086842
Hydrant,Ashland,37.75516728,-77.48426519
Hydrant,Ashland,37.75520979,-77.47260668
Hydrant,Ashland,37.75531973,-77.482119
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75536721,-77.46432283
Hydrant,Ashland,37.75538039,-77.47599562
Hydrant,Arlington Square Townhouses,37.75538045,-77.47742663
Hydrant,James Street Area Water 1982,37.75540816,-77.48645748
Hydrant,Beverly Road Waterline Replacement,37.75557574,-77.49079637
Hydrant,Walmart - Ashland,37.75561736,-77.45889946
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75570063,-77.46321214
Hydrant,Snead Street Area Waterline Improvements,37.75571854,-77.48979272
Hydrant,Tractor Supply Ashland,37.75574,-77.46598
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75577514,-77.46567022
Hydrant,Walmart - Ashland,37.75582084,-77.46246888
Hydrant,Ashland,37.75589175,-77.47404534
Hydrant,Ashland Junction Shopping Center 1990,37.75593994,-77.46760474
Hydrant,Arlington Street Area Water 1982,37.75598774,-77.47906675
Hydrant,Arlington Square Townhouses,37.75608245,-77.47741942
Hydrant,Walmart - Ashland,37.75613202,-77.46156849
Hydrant,Chapman and Stebbins Street Water Main Replacement,37.75619141,-77.4829497
Hydrant,Walmart - Ashland,37.75620233,-77.46030578
Hydrant,Hill Carter Parkway and Junction Drive Extended,37.75634341,-77.46291515
Hydrant,Snead Street Area Waterline Improvements,37.75650421,-77.48820622
Hydrant,Ashland Junction Shopping Center 1990,37.75653374,-77.47115936
Hydrant,Ashland,37.75657191,-77.47164462
Hydrant,Ashland,37.75658518,-77.4817934
Hydrant,James Street Area Water 1982,37.7566138,-77.48410073
Hydrant,Beverly Road Waterline Replacement,37.75672159,-77.49116444
Hydrant,Ashland,37.75676655,-77.47351957
Hydrant,Ashland,37.756808,-77.47618685
Hydrant,Hanover Avenue Waterline,37.75685678,-77.48594255
Hydrant,Ashland,37.75687493,-77.47746175
Hydrant,Ashland,37.7568954,-77.48612403
Hydrant,Ashland,37.75694783,-77.47884591
Hydrant,Ashland,37.75699786,-77.475915
Hydrant,Ashland,37.75700753,-77.48050409
Hydrant,Ashland,37.75703504,-77.4598983
Hydrant,Sleep Inn Hotel - Ashland,37.75705378,-77.46914253
Hydrant,Hill Carter Parkway,37.75720604,-77.46329446
Hydrant,Hill Carter Parkway,37.75720826,-77.46259913
Hydrant,Sleep Inn Hotel - Ashland,37.75722254,-77.46817549
Hydrant,Hampton Inn Route 54,37.75739811,-77.46993484
Hydrant,James Street Area Water 1982,37.75750059,-77.48579224
Hydrant,East Coast Gas Station 1994,37.75752352,-77.46789449
Hydrant,Sleep Inn Hotel - Ashland,37.75754446,-77.46828525
Hydrant,Ashland Waterline Improvements,37.75761189,-77.48458824
Hydrant,Rt 1 & Rt 54 Waterline Improvements,37.75764362,-77.47137366
Hydrant,Ashland Rescue Squad 1988,37.75771985,-77.48347994
Hydrant,Applebee's (Ashland),37.75775547,-77.46275264
Hydrant,Ashland Waterline Improvements,37.75775819,-77.47901932
Hydrant,,37.75783344,-77.48089331
Hydrant,Blair Manor,37.75786708,-77.47701007
Hydrant,Ashland,37.75789076,-77.4813759
Hydrant,Ruby Tuesday - Ashland,37.75795079,-77.4663028
Hydrant,Wendys Waterline Extension 1981,37.75802955,-77.46552829
Hydrant,Ashland Holiday Inn - Citgo Store,37.75806534,-77.46163377
Hydrant,Hampton Inn Route 54,37.75809613,-77.46992196
Hydrant,Hill Carter Parkway,37.75815278,-77.46458887
Hydrant,Hill Carter Parkway,37.75815848,-77.46366524
Hydrant,Snead Street Area Waterline Improvements,37.7581683,-77.48916302
Hydrant,Rt 1 & Rt 54 Waterline Improvements,37.75818455,-77.47084739
Hydrant,Ashland Waterline Improvements,37.75820271,-77.48302802
Hydrant,Ashland,37.7582786,-77.48128605
Hydrant,Ashland Holiday Inn - Citgo Store,37.7582867,-77.4610029
Hydrant,Ashland,37.75830859,-77.47604471
Hydrant,Ashland,37.75832372,-77.47999007
Hydrant,Ashland,37.75837498,-77.47189023
Hydrant,Beverly Road Waterline Replacement,37.75847885,-77.49215651
Hydrant,Snead Street Area Waterline Improvements,37.75851547,-77.49137954
Hydrant,Ashland,37.7586214,-77.47316467
Hydrant,Ashland,37.75865581,-77.48152472
Hydrant,Ashland,37.75866998,-77.47859496
Hydrant,Ashland,37.75869329,-77.47508219
Hydrant,Thompson Street Reconstruction,37.75873603,-77.48214947
Hydrant,England Street Water & Sewer,37.75878915,-77.4803253
Hydrant,Hill Carter Parkway,37.75880555,-77.46392165
Hydrant,Ashland,37.75881021,-77.47717991
Hydrant,Ashland,37.75887375,-77.46188105
Hydrant,Ashland Waterline Improvements,37.7589539,-77.48317736
Hydrant,,37.759032,-77.479984
Hydrant,,37.759032,-77.479984
Hydrant,Ashland,37.75906976,-77.46280525
Hydrant,Ashland,37.75925265,-77.46829972
Hydrant,Ashland,37.7592719,-77.46788462
Hydrant,,37.75939071,-77.48529964
Hydrant,Ashland,37.75944858,-77.48133711
Hydrant,Pamunkey Regional Jail Facility 1998,37.75948512,-77.35300844
Hydrant,Ashland,37.75955391,-77.47172051
Hydrant,Carter Luck Properties Sewer & Water 1976,37.75958884,-77.46934936
Hydrant,Hill Carter Parkway,37.75959877,-77.46400016
Hydrant,James Street Area Water 1982,37.759608,-77.48516329
Hydrant,Thompson Street Reconstruction,37.75972589,-77.48705021
Hydrant,Pamunkey Regional Jail Facility 1998,37.75974283,-77.35487396
Hydrant,Pamunkey Regional Jail Facility 1998,37.75976378,-77.35285505
Hydrant,Ashland,37.75979312,-77.47342031
Hydrant,College Ave & Route 1 Waterline 1966,37.75986873,-77.47479044
Hydrant,,37.75987923,-77.46172067
Hydrant,College Ave & Route 1 Waterline 1966,37.75988266,-77.47606198
Hydrant,Carter Luck Properties Sewer & Water 1976,37.75996488,-77.46474312
Hydrant,Thompson Street Reconstruction,37.76000219,-77.4886717
Hydrant,Ashland,37.76007599,-77.47898264
Hydrant,College Ave & Route 1 Waterline 1966,37.76011083,-77.47808608
Hydrant,Thompson Street Reconstruction,37.76030144,-77.48999757
Hydrant,Ashland Hanover Shopping Center 1978,37.76042741,-77.46966894
Hydrant,Route 54 Water Main Phase 1,37.76047264,-77.4561959
Hydrant,Thompson Street Reconstruction,37.76056948,-77.49043687
Hydrant,Cottage Green Condominiums,37.76067319,-77.46728736
Hydrant,Pamunkey Regional Jail Facility 1998,37.76072993,-77.3635154
Hydrant,Thompson Street Reconstruction,37.76078532,-77.49172311
Hydrant,Ashland,37.76085149,-77.48265756
Hydrant,Pamunkey Regional Jail Facility 1998,37.76086614,-77.35440781
Hydrant,Ashland,37.7609451,-77.47782945
Hydrant,Ashland Hanover Shopping Center 1978,37.76100822,-77.4683854
Hydrant,Cottage Green Condominiums,37.76103665,-77.46764033
Hydrant,Cottage Green Condominiums,37.76105436,-77.46685198
Hydrant,Thompson Street Reconstruction,37.76113609,-77.4923087
Hydrant,Ashland,37.76119234,-77.47495669
Hydrant,Ashland Waterline Improvements,37.76119676,-77.47458253
Hydrant,Ashland,37.7612435,-77.46145272
Hydrant,Ashland,37.76129532,-77.47204384
Hydrant,Cottage Green Condominiums,37.76138179,-77.46799603
Hydrant,Ashland,37.76143396,-77.47742336
Hydrant,Cottage Green Condominiums,37.76145646,-77.46696774
Hydrant,Century Concrete,37.7615573,-77.45601254
Hydrant,Ashland,37.7615596,-77.48633479
Hydrant,College Ave & Route 1 Waterline 1966,37.76160989,-77.47133669
Hydrant,Ashland,37.7616912,-77.4697181
Hydrant,Cottage Green Condominiums,37.76178086,-77.46608181
Hydrant,Cottage Green Condominiums,37.76181976,-77.46477475
Hydrant,Ashland,37.76188008,-77.46063303
Hydrant,Ashland Waterline Improvements,37.76193951,-77.4743316
Hydrant,Ashland,37.76195417,-77.48825867
Hydrant,Ashland Waterline Improvements,37.76199327,-77.47282056
Hydrant,Cottage Green Condominiums,37.76207081,-77.46574387
Hydrant,Ashland,37.76208167,-77.4679787
Hydrant,RMC Brock Center,37.762108,-77.477445
Hydrant,Cottage Green Condominiums,37.76215774,-77.46488736
Hydrant,Century Concrete,37.76216363,-77.4561899
Hydrant,Ashland,37.76226375,-77.48983507
Hydrant,Ashland Woods Phase 2,37.76232428,-77.47070425
Hydrant,Ashland Gardens,37.76236054,-77.46895119
Hydrant,Cottage Green Condominiums,37.76241896,-77.46426932
Hydrant,Ashland Woods Phase 2,37.76242404,-77.4700741
Hydrant,Ashland,37.76252714,-77.47500999
Hydrant,Ashland Woods Phase 1,37.76255507,-77.46940464
Hydrant,Ashland Woods Phase 1,37.76255521,-77.46878446
Hydrant,Hill Carter Parkway,37.76258869,-77.46180562
Hydrant,Laurel Woods Apartments 1987,37.76259933,-77.4672186
Hydrant,Ashland,37.76269105,-77.49185064
Hydrant,Ashland,37.76272164,-77.48412162
Hydrant,Hanover Courthouse Fire Station Waterline 1997,37.76278002,-77.36705259
Hydrant,Route 54 Transmission Main 1965,37.76279433,-77.49359657
Hydrant,Ashland,37.76280439,-77.48022737
Hydrant,Pamunkey Regional Jail Facility 1998,37.76280745,-77.36620947
Hydrant,Ashland,37.76281501,-77.46090445
Hydrant,Hanover Courthouse Fire Station Waterline 1997,37.76282337,-77.3676524
Hydrant,Ashland,37.76284667,-77.4773034
Hydrant,Ashland Woods Phase 2,37.76296706,-77.47076906
Hydrant,Ashland Woods Phase 1,37.76299198,-77.46882631
Hydrant,Century Concrete,37.76302461,-77.45623018
Hydrant,Ashland Waterline Improvements,37.76304169,-77.47277847
Hydrant,Route 54 Water Main Phase 1,37.7630516,-77.45991689
Hydrant,RMC,37.76313,-77.47721
Hydrant,College Ave & Route 1 Waterline 1966,37.7631488,-77.47138277
Hydrant,Ashland,37.76316243,-77.48780278
Hydrant,Hanover County Government Complex,37.76323357,-77.36604103
Hydrant,,37.76327221,-77.46797131
Hydrant,,37.76329123,-77.4783676
Hydrant,Ashland Woods Phase 2,37.76339337,-77.47032094
Hydrant,Ashland,37.76345281,-77.48127456
Hydrant,Ashland Woods Phase 2,37.76348152,-77.4712473
Hydrant,Courthouse Water System Modifications and Ashland Sewer 2001,37.76348822,-77.36475724
Hydrant,Ashland,37.76348932,-77.48943354
Hydrant,Ashland Woods Phase 1,37.76351165,-77.46941223
Hydrant,Ashland,37.76364597,-77.47965932
